"","V1","V2","V3"
"b[(Intercept) Stock:L.Stuart]","4471","ven","Neff"
"b[load_std Stock:L.Stuart]","4963","ven","Neff"
"b[(Intercept) Stock:Nadina]","5499","ven","Neff"
"b[load_std Stock:Nadina]","4082","ven","Neff"
"b[(Intercept) Stock:Pitt]","1748","ven","Neff"
"b[load_std Stock:Pitt]","4909","ven","Neff"
"b[(Intercept) Stock:Portage]","6332","ven","Neff"
"b[load_std Stock:Portage]","4098","ven","Neff"
"b[(Intercept) Stock:Quesnel]","2973","ven","Neff"
"b[load_std Stock:Quesnel]","3759","ven","Neff"
"b[(Intercept) Stock:Raft]","5655","ven","Neff"
"b[load_std Stock:Raft]","4619","ven","Neff"
"b[(Intercept) Stock:Scotch]","3870","ven","Neff"
"b[load_std Stock:Scotch]","3355","ven","Neff"
"b[(Intercept) Stock:Seymour]","3060","ven","Neff"
"b[load_std Stock:Seymour]","4618","ven","Neff"
"b[(Intercept) Stock:Stellako]","3002","ven","Neff"
"b[load_std Stock:Stellako]","4236","ven","Neff"
"b[(Intercept) Stock:Weaver]","2826","ven","Neff"
"b[load_std Stock:Weaver]","4380","ven","Neff"
"b[(Intercept) Year:2009]","3417","ven","Neff"
"b[(Intercept) Year:2010]","4990","ven","Neff"
"b[(Intercept) Year:2011]","4356","ven","Neff"
"b[(Intercept) Year:2012]","3692","ven","Neff"
"b[(Intercept) Year:2013]","3032","ven","Neff"
"b[(Intercept) Year:2014]","2852","ven","Neff"
"b[(Intercept) Year:2015]","2633","ven","Neff"
"b[(Intercept) Year:2016]","2731","ven","Neff"
"sigma","1522","ven","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1454","ven","Neff"
"Sigma[Stock:load_std,(Intercept)]","3479","ven","Neff"
"Sigma[Stock:load_std,load_std]","3011","ven","Neff"
"Sigma[Year:(Intercept),(Intercept)]","1895","ven","Neff"
"mean_PPD","4344","ven","Neff"
"log-posterior","747","ven","Neff"
"load_std","1844","ce_sha","Neff"
"sst_anom","1988","ce_sha","Neff"
"b[(Intercept) Stock:Birkenhead]","3879","ce_sha","Neff"
"b[load_std Stock:Birkenhead]","3664","ce_sha","Neff"
"b[(Intercept) Stock:Chilko]","2797","ce_sha","Neff"
"b[load_std Stock:Chilko]","4084","ce_sha","Neff"
"b[(Intercept) Stock:E.Stuart]","4043","ce_sha","Neff"
"b[load_std Stock:E.Stuart]","3604","ce_sha","Neff"
"b[(Intercept) Stock:Gates]","1275","ce_sha","Neff"
"b[load_std Stock:Gates]","2284","ce_sha","Neff"
"b[(Intercept) Stock:Harrison]","3801","ce_sha","Neff"
"b[load_std Stock:Harrison]","4195","ce_sha","Neff"
"b[(Intercept) Stock:L.Shuswap]","1749","ce_sha","Neff"
"b[load_std Stock:L.Shuswap]","2476","ce_sha","Neff"
"b[(Intercept) Stock:L.Stuart]","3060","ce_sha","Neff"
"b[load_std Stock:L.Stuart]","2018","ce_sha","Neff"
"b[(Intercept) Stock:Nadina]","4093","ce_sha","Neff"
"b[load_std Stock:Nadina]","2882","ce_sha","Neff"
"b[(Intercept) Stock:Pitt]","1423","ce_sha","Neff"
"b[load_std Stock:Pitt]","2329","ce_sha","Neff"
"b[(Intercept) Stock:Quesnel]","1725","ce_sha","Neff"
"b[load_std Stock:Quesnel]","1890","ce_sha","Neff"
"b[(Intercept) Stock:Raft]","3192","ce_sha","Neff"
"b[load_std Stock:Raft]","2530","ce_sha","Neff"
"b[(Intercept) Stock:Scotch]","3024","ce_sha","Neff"
"b[load_std Stock:Scotch]","3666","ce_sha","Neff"
"b[(Intercept) Stock:Seymour]","2457","ce_sha","Neff"
"b[load_std Stock:Seymour]","3070","ce_sha","Neff"
