"","V1","V2","V3"
"b[(Intercept) Year:2010]","2126","ven","Neff"
"b[(Intercept) Year:2011]","2429","ven","Neff"
"b[(Intercept) Year:2012]","2049","ven","Neff"
"b[(Intercept) Year:2013]","2040","ven","Neff"
"b[(Intercept) Year:2014]","2256","ven","Neff"
"b[(Intercept) Year:2015]","2138","ven","Neff"
"b[(Intercept) Year:2016]","2789","ven","Neff"
"sigma","2052","ven","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1746","ven","Neff"
"Sigma[Stock:load_std,(Intercept)]","2093","ven","Neff"
"Sigma[Stock:load_std,load_std]","1539","ven","Neff"
"Sigma[Year:(Intercept),(Intercept)]","1809","ven","Neff"
"mean_PPD","4097","ven","Neff"
"log-posterior","858","ven","Neff"
"load_std","2934","ce_sha","Neff"
"b[(Intercept) Stock:Birkenhead]","1480","ce_sha","Neff"
"b[load_std Stock:Birkenhead]","4288","ce_sha","Neff"
"b[(Intercept) Stock:Bowron]","1867","ce_sha","Neff"
"b[load_std Stock:Bowron]","3956","ce_sha","Neff"
"b[(Intercept) Stock:Chilko]","1548","ce_sha","Neff"
"b[load_std Stock:Chilko]","3625","ce_sha","Neff"
"b[(Intercept) Stock:E.Stuart]","2161","ce_sha","Neff"
"b[load_std Stock:E.Stuart]","5151","ce_sha","Neff"
"b[(Intercept) Stock:Gates]","1682","ce_sha","Neff"
"b[load_std Stock:Gates]","4547","ce_sha","Neff"
"b[(Intercept) Stock:Harrison]","1563","ce_sha","Neff"
"b[load_std Stock:Harrison]","4829","ce_sha","Neff"
"b[(Intercept) Stock:L.Shuswap]","1296","ce_sha","Neff"
"b[load_std Stock:L.Shuswap]","2951","ce_sha","Neff"
"b[(Intercept) Stock:L.Stuart]","1522","ce_sha","Neff"
"b[load_std Stock:L.Stuart]","4727","ce_sha","Neff"
"b[(Intercept) Stock:Nadina]","1597","ce_sha","Neff"
"b[load_std Stock:Nadina]","5357","ce_sha","Neff"
"b[(Intercept) Stock:Pitt]","1509","ce_sha","Neff"
"b[load_std Stock:Pitt]","4715","ce_sha","Neff"
"b[(Intercept) Stock:Quesnel]","1282","ce_sha","Neff"
"b[load_std Stock:Quesnel]","4771","ce_sha","Neff"
"b[(Intercept) Stock:Raft]","3269","ce_sha","Neff"
"b[load_std Stock:Raft]","5569","ce_sha","Neff"
"b[(Intercept) Stock:Scotch]","2042","ce_sha","Neff"
"b[load_std Stock:Scotch]","2181","ce_sha","Neff"
"b[(Intercept) Stock:Seymour]","1872","ce_sha","Neff"
"b[load_std Stock:Seymour]","2912","ce_sha","Neff"
"b[(Intercept) Stock:Stellako]","1882","ce_sha","Neff"
"b[load_std Stock:Stellako]","3461","ce_sha","Neff"
"b[(Intercept) Stock:Weaver]","1529","ce_sha","Neff"
"b[load_std Stock:Weaver]","2194","ce_sha","Neff"
"b[(Intercept) Year:2009]","2481","ce_sha","Neff"
"b[(Intercept) Year:2010]","1986","ce_sha","Neff"
"b[(Intercept) Year:2011]","1127","ce_sha","Neff"
"b[(Intercept) Year:2012]","1827","ce_sha","Neff"
"b[(Intercept) Year:2013]","2004","ce_sha","Neff"
